device,family,order,name,category,kind,removed,remaining,retained_pct
CH_01,chiller,0,raw records,source,,0,105120,100.0
CH_01,chiller,1,power_W present,missing_channel,gate,3,105117,99.99714611872146
CH_01,chiller,2,tchws_C present,missing_channel,gate,13671,91446,86.9920091324201
CH_01,chiller,3,tchwr_C present,missing_channel,gate,2,91444,86.99010654490107
CH_01,chiller,4,tcws_C present,missing_channel,gate,1,91443,86.98915525114155
CH_01,chiller,5,tcwr_C present,missing_channel,gate,0,91443,86.98915525114155
CH_01,chiller,6,chw_flow_m3_h present,missing_channel,gate,1,91442,86.98820395738204
CH_01,chiller,7,cw_flow_m3_h present,missing_channel,gate,0,91442,86.98820395738204
CH_01,chiller,8,device running,operating_state,gate,62356,29086,27.669330289193304
CH_02,chiller,0,raw records,source,,0,105120,100.0
CH_02,chiller,1,power_W present,missing_channel,gate,3,105117,99.99714611872146
CH_02,chiller,2,tchws_C present,missing_channel,gate,11898,93219,88.67865296803653
CH_02,chiller,3,tchwr_C present,missing_channel,gate,1,93218,88.67770167427702
CH_02,chiller,4,tcws_C present,missing_channel,gate,1773,91445,86.99105783866058
CH_02,chiller,5,tcwr_C present,missing_channel,gate,0,91445,86.99105783866058
CH_02,chiller,6,chw_flow_m3_h present,missing_channel,gate,0,91445,86.99105783866058
CH_02,chiller,7,cw_flow_m3_h present,missing_channel,gate,1,91444,86.99010654490107
CH_02,chiller,8,device running,operating_state,gate,90000,1444,1.373668188736682
CH_03,chiller,0,raw records,source,,0,105121,100.0
CH_03,chiller,1,power_W present,missing_channel,gate,3,105118,99.99714614586999
CH_03,chiller,2,tchws_C present,missing_channel,gate,3808,101310,96.37465397018674
CH_03,chiller,3,tchwr_C present,missing_channel,gate,9989,91321,86.87227100198818
CH_03,chiller,4,tcws_C present,missing_channel,gate,2,91319,86.87036843256818
CH_03,chiller,5,tcwr_C present,missing_channel,gate,0,91319,86.87036843256818
CH_03,chiller,6,chw_flow_m3_h present,missing_channel,gate,0,91319,86.87036843256818
CH_03,chiller,7,cw_flow_m3_h present,missing_channel,gate,0,91319,86.87036843256818
CH_03,chiller,8,device running,operating_state,gate,49513,41806,39.76940858629579
CH_04,chiller,0,raw records,source,,0,105120,100.0
CH_04,chiller,1,power_W present,missing_channel,gate,3,105117,99.99714611872146
CH_04,chiller,2,tchws_C present,missing_channel,gate,10600,94517,89.91343226788432
CH_04,chiller,3,tchwr_C present,missing_channel,gate,11,94506,89.90296803652969
CH_04,chiller,4,tcws_C present,missing_channel,gate,1782,92724,88.20776255707763
CH_04,chiller,5,tcwr_C present,missing_channel,gate,6,92718,88.20205479452055
CH_04,chiller,6,chw_flow_m3_h present,missing_channel,gate,5,92713,88.19729832572298
CH_04,chiller,7,cw_flow_m3_h present,missing_channel,gate,1,92712,88.19634703196347
CH_04,chiller,8,device running,operating_state,gate,89797,2915,2.773021308980213
CH_05,chiller,0,raw records,source,,0,105120,100.0
CH_05,chiller,1,power_W present,missing_channel,gate,3,105117,99.99714611872146
CH_05,chiller,2,tchws_C present,missing_channel,gate,97777,7340,6.982496194824962
CH_05,chiller,3,tchwr_C present,missing_channel,gate,1,7339,6.981544901065449
CH_05,chiller,4,tcws_C present,missing_channel,gate,1564,5775,5.4937214611872145
CH_05,chiller,5,tcwr_C present,missing_channel,gate,7,5768,5.487062404870624
CH_05,chiller,6,chw_flow_m3_h present,missing_channel,gate,0,5768,5.487062404870624
CH_05,chiller,7,cw_flow_m3_h present,missing_channel,gate,5,5763,5.482305936073059
CH_05,chiller,8,device running,operating_state,gate,5724,39,0.037100456621004564
CH_06,chiller,0,raw records,source,,0,105120,100.0
CH_06,chiller,1,power_W present,missing_channel,gate,3,105117,99.99714611872146
CH_06,chiller,2,tchws_C present,missing_channel,gate,11626,93491,88.93740487062405
CH_06,chiller,3,tchwr_C present,missing_channel,gate,1951,91540,87.0814307458143
CH_06,chiller,4,tcws_C present,missing_channel,gate,2195,89345,84.9933409436834
CH_06,chiller,5,tcwr_C present,missing_channel,gate,93,89252,84.90487062404871
CH_06,chiller,6,chw_flow_m3_h present,missing_channel,gate,1726,87526,83.26293759512937
CH_06,chiller,7,cw_flow_m3_h present,missing_channel,gate,6,87520,83.25722983257229
CH_06,chiller,8,device running,operating_state,gate,82354,5166,4.914383561643835
CH_07,chiller,0,raw records,source,,0,105120,100.0
CH_07,chiller,1,power_W present,missing_channel,gate,3,105117,99.99714611872146
CH_07,chiller,2,tchws_C present,missing_channel,gate,12289,92828,88.30669710806697
CH_07,chiller,3,tchwr_C present,missing_channel,gate,3074,89754,85.3824200913242
CH_07,chiller,4,tcws_C present,missing_channel,gate,1829,87925,83.64250380517504
CH_07,chiller,5,tcwr_C present,missing_channel,gate,983,86942,82.70738203957382
CH_07,chiller,6,chw_flow_m3_h present,missing_channel,gate,4,86938,82.70357686453576
CH_07,chiller,7,cw_flow_m3_h present,missing_channel,gate,8,86930,82.69596651445967
CH_07,chiller,8,device running,operating_state,gate,51577,35353,33.63108828006088
