site,device_id,equipment_type,flag
site_a,CH_01,chiller,liveness_channel_absent
site_a,CH_01,chiller,cop_above_envelope:reconstructed_COP=20.52
site_a,CH_02,chiller,liveness_channel_absent
site_a,CH_02,chiller,cop_above_envelope:reconstructed_COP=13.03
site_a,CH_03,chiller,liveness_channel_absent
site_a,CH_03,chiller,cop_above_envelope:reconstructed_COP=10.09
site_a,CH_04,chiller,liveness_channel_absent
site_a,CH_05,chiller,liveness_channel_absent
site_a,CH_05,chiller,cop_above_envelope:reconstructed_COP=11
site_a,CH_06,chiller,liveness_channel_absent
site_a,CH_06,chiller,cop_above_envelope:reconstructed_COP=21.57
site_a,CH_07,chiller,liveness_channel_absent
site_a,CH_07,chiller,cop_above_envelope:reconstructed_COP=11.99
site_a,CDWP_01,pump,driver_not_excited:speed_Hz=0.001
site_a,CDWP_05,pump,driver_not_excited:speed_Hz=0.002
site_a,CDWP_06,pump,driver_not_excited:speed_Hz=0.000
site_a,CDWP_07,pump,driver_not_excited:speed_Hz=0.001
site_a,CHWP_01,pump,driver_not_excited:speed_Hz=0.055
site_a,CHWP_02,pump,driver_not_excited:speed_Hz=0.046
site_a,CHWP_03,pump,driver_not_excited:speed_Hz=0.048
site_a,CHWP_04,pump,driver_not_excited:speed_Hz=0.056
site_a,CHWP_05,pump,driver_not_excited:speed_Hz=0.063
site_a,CHWP_06,pump,driver_not_excited:speed_Hz=0.023
site_a,CHWP_07,pump,driver_not_excited:speed_Hz=0.055
site_a,HXCWP_01,pump,driver_not_excited:speed_Hz=0.002
site_a,HXCWP_02,pump,driver_not_excited:speed_Hz=0.001
site_a,HXCWP_03,pump,driver_not_excited:speed_Hz=0.035
site_a,HX_01,heat_exchanger,run_signal_absent
site_a,HX_02,heat_exchanger,run_signal_absent
site_a,HX_03,heat_exchanger,run_signal_absent
site_a,HX_03,heat_exchanger,target_sensor_dead
tencent,HEX01,heat_exchanger,run_signal_absent
tencent,HEX02,heat_exchanger,run_signal_absent
tencent,HEX03,heat_exchanger,run_signal_absent
tencent,HEX04,heat_exchanger,run_signal_absent
tencent,HEX05,heat_exchanger,run_signal_absent
tencent,HEX06,heat_exchanger,run_signal_absent
hkust,CH-01,chiller,liveness_channel_absent
hkust,CH-02,chiller,liveness_channel_absent
hkust,CH-03,chiller,liveness_channel_absent
hkust,CH-04,chiller,liveness_channel_absent
hkust,CH-05,chiller,liveness_channel_absent
hkust,CH-06,chiller,liveness_channel_absent
hkust,CH-07,chiller,liveness_channel_absent
hkust,CH-08,chiller,liveness_channel_absent
hkust,CH-08,chiller,frozen_channel:chw_flow_m3_h=97.9
hkust,CH-08,chiller,frozen_channel:cw_flow_m3_h=97.9
hkust,CH-08,chiller,cop_below_unity:reconstructed_COP=32.6
hkust,CH-09,chiller,liveness_channel_absent
hkust,CH-09,chiller,frozen_channel:cw_flow_m3_h=100
hkust,CT1,pump,run_signal_uncorroborated:59pct_by_speed_Hz
hkust,CT1,pump,synthetic_channel:power_W
hkust,CT2,pump,synthetic_channel:power_W
hkust,CT3,pump,run_signal_uncorroborated:60pct_by_speed_Hz
hkust,CT3,pump,synthetic_channel:power_W
hkust,CT4,pump,run_signal_uncorroborated:57pct_by_speed_Hz
hkust,CT4,pump,synthetic_channel:power_W
hkust,CWP10,pump,run_signal_uncorroborated:86pct_by_speed_Hz
hkust,CWP10,pump,synthetic_channel:power_W
hkust,CWP11,pump,run_signal_uncorroborated:69pct_by_speed_Hz
hkust,CWP11,pump,synthetic_channel:power_W
hkust,CWP12,pump,run_signal_uncorroborated:61pct_by_speed_Hz
hkust,CWP12,pump,synthetic_channel:power_W
hkust,CWP13,pump,run_signal_uncorroborated:83pct_by_speed_Hz
hkust,CWP13,pump,synthetic_channel:power_W
hkust,CWP14,pump,liveness_channel_absent
hkust,CWP15,pump,run_signal_uncorroborated:75pct_by_speed_Hz
hkust,CWP15,pump,synthetic_channel:power_W
hkust,CWP16,pump,run_signal_dead
hkust,CWP16,pump,liveness_channel_absent
hkust,CWP16,pump,target_sensor_dead
hkust,CWP17,pump,run_signal_uncorroborated:95pct_by_speed_Hz
hkust,CWP18,pump,run_signal_dead
hkust,CWP18,pump,liveness_channel_absent
hkust,PP1,pump,run_signal_uncorroborated:51pct_by_speed_Hz
hkust,PP1,pump,driver_not_excited:speed_Hz=0.062
hkust,PP1,pump,synthetic_channel:power_W
hkust,PP2,pump,run_signal_uncorroborated:55pct_by_speed_Hz
hkust,PP2,pump,driver_not_excited:speed_Hz=0.053
hkust,PP2,pump,synthetic_channel:power_W
hkust,PP3,pump,run_signal_uncorroborated:55pct_by_speed_Hz
hkust,PP3,pump,driver_not_excited:speed_Hz=0.058
hkust,PP3,pump,synthetic_channel:power_W
hkust,PP4,pump,run_signal_uncorroborated:54pct_by_speed_Hz
hkust,PP4,pump,driver_not_excited:speed_Hz=0.061
hkust,PP4,pump,synthetic_channel:power_W
hkust,PP5,pump,run_signal_uncorroborated:66pct_by_speed_Hz
hkust,PP5,pump,driver_not_excited:speed_Hz=0.049
hkust,PP5,pump,synthetic_channel:power_W
hkust,PP6,pump,run_signal_uncorroborated:72pct_by_speed_Hz
hkust,PP6,pump,driver_not_excited:speed_Hz=0.063
hkust,PP6,pump,synthetic_channel:power_W
hkust,PP7,pump,run_signal_uncorroborated:69pct_by_speed_Hz
hkust,PP7,pump,driver_not_excited:speed_Hz=0.068
hkust,PP7,pump,synthetic_channel:power_W
hkust,PP8,pump,run_signal_uncorroborated:22pct_by_speed_Hz
hkust,PP8,pump,synthetic_channel:power_W
hkust,PP9,pump,run_signal_uncorroborated:59pct_by_speed_Hz
hkust,PP9,pump,driver_not_excited:speed_Hz=0.081
hkust,PP9,pump,synthetic_channel:power_W
hkust,SWP1,pump,run_signal_uncorroborated:92pct_by_speed_Hz
hkust,SWP1,pump,synthetic_channel:power_W
hkust,SWP2,pump,run_signal_uncorroborated:51pct_by_speed_Hz
hkust,SWP2,pump,driver_not_excited:speed_Hz=0.056
hkust,SWP2,pump,synthetic_channel:power_W
hkust,SWP3,pump,run_signal_uncorroborated:89pct_by_speed_Hz
hkust,SWP3,pump,synthetic_channel:power_W
hkust,SWP4,pump,run_signal_uncorroborated:49pct_by_speed_Hz
hkust,SWP4,pump,driver_not_excited:speed_Hz=0.091
hkust,SWP4,pump,synthetic_channel:power_W
hkust,SWP5,pump,run_signal_uncorroborated:91pct_by_speed_Hz
hkust,SWP5,pump,synthetic_channel:power_W
hkust,SWP6,pump,driver_not_excited:speed_Hz=0.000
hkust,SWP7,pump,run_signal_uncorroborated:69pct_by_speed_Hz
hkust,SWP7,pump,driver_not_excited:speed_Hz=0.048
hkust,SWP7,pump,synthetic_channel:power_W
hkust,SWP8,pump,run_signal_uncorroborated:94pct_by_speed_Hz
hkust,SWP9,pump,liveness_channel_absent
lbnl,CHI1,chiller,run_signal_uncorroborated:71pct_by_load_pct
lbnl,CHI1,chiller,cop_below_unity:reconstructed_COP=2
lbnl,CHI2,chiller,frozen_channel:chw_flow_m3_h=95.8
lbnl,CHI2,chiller,frozen_channel:cw_flow_m3_h=95.9
lbnl,CT2,cooling_tower,frozen_channel:attributed_flow_m3_h=95.9
