site,device,equipment,n_mapped_channels,n_independent_signals,n_dead,n_synthetic_roles,independent_roles,synthetic_roles
site_a,chiller_ch_01,chiller,8,8,0,0,power_W|chw_flow_m3_h|cw_flow_m3_h|tchws_C|tchwr_C|tcws_C|tcwr_C|run_signal,
site_a,chiller_ch_02,chiller,8,8,0,0,power_W|chw_flow_m3_h|cw_flow_m3_h|tchws_C|tchwr_C|tcws_C|tcwr_C|run_signal,
site_a,chiller_ch_03,chiller,8,8,0,0,power_W|chw_flow_m3_h|cw_flow_m3_h|tchws_C|tchwr_C|tcws_C|tcwr_C|run_signal,
site_a,chiller_ch_04,chiller,8,8,0,0,power_W|chw_flow_m3_h|cw_flow_m3_h|tchws_C|tchwr_C|tcws_C|tcwr_C|run_signal,
site_a,chiller_ch_05,chiller,8,8,0,0,power_W|chw_flow_m3_h|cw_flow_m3_h|tchws_C|tchwr_C|tcws_C|tcwr_C|run_signal,
site_a,chiller_ch_06,chiller,8,8,0,0,power_W|chw_flow_m3_h|cw_flow_m3_h|tchws_C|tchwr_C|tcws_C|tcwr_C|run_signal,
site_a,chiller_ch_07,chiller,8,8,0,0,power_W|chw_flow_m3_h|cw_flow_m3_h|tchws_C|tchwr_C|tcws_C|tcwr_C|run_signal,
site_a,cooling_tower_ct_01,cooling_tower,6,5,0,2,power_W|fan1_Hz|fan2_Hz|tcwr_C|tcws_1_C,fan1_Hz|run_signal
site_a,cooling_tower_ct_02,cooling_tower,6,5,0,2,power_W|fan1_Hz|fan2_Hz|tcwr_C|tcws_1_C,fan1_Hz|run_signal
site_a,cooling_tower_ct_03,cooling_tower,6,5,0,2,power_W|fan1_Hz|fan2_Hz|tcwr_C|tcws_1_C,fan1_Hz|run_signal
site_a,cooling_tower_ct_04,cooling_tower,6,5,0,2,power_W|fan1_Hz|fan2_Hz|tcwr_C|tcws_1_C,fan1_Hz|run_signal
site_a,cooling_tower_ct_05,cooling_tower,6,5,0,2,power_W|fan1_Hz|fan2_Hz|tcwr_C|tcws_1_C,fan1_Hz|run_signal
site_a,cooling_tower_ct_06,cooling_tower,3,3,0,0,power_W|tcwr_C|tcws_1_C,
site_a,cooling_tower_ct_07,cooling_tower,3,3,0,0,power_W|tcwr_C|tcws_1_C,
site_a,heat_exchanger_hx_01,heat_exchanger,6,6,0,0,tchws_C|tchwr_C|tcws_C|tcwr_C|chw_flow_m3_h|cw_flow_m3_h,
site_a,heat_exchanger_hx_02,heat_exchanger,0,0,0,0,,
site_a,heat_exchanger_hx_03,heat_exchanger,0,0,0,0,,
site_a,pump_cdwp_01,pump,3,2,0,2,power_W|speed_Hz,run_signal|speed_Hz
site_a,pump_cdwp_02,pump,3,2,0,2,power_W|speed_Hz,run_signal|speed_Hz
site_a,pump_cdwp_03,pump,3,2,0,2,power_W|speed_Hz,run_signal|speed_Hz
site_a,pump_chwp_01,pump,3,2,0,2,power_W|speed_Hz,run_signal|speed_Hz
site_a,pump_chwp_02,pump,3,2,0,2,power_W|speed_Hz,run_signal|speed_Hz
site_a,pump_chwp_03,pump,3,2,0,2,power_W|speed_Hz,run_signal|speed_Hz
site_a,pump_hxcwp_01,pump,3,2,0,2,power_W|speed_Hz,run_signal|speed_Hz
site_a,pump_hxcwp_02,pump,3,2,0,2,power_W|speed_Hz,run_signal|speed_Hz
site_a,pump_hxcwp_03,pump,3,2,0,2,power_W|speed_Hz,run_signal|speed_Hz
tencent,chiller_chi01,chiller,9,9,0,0,power_W|chw_flow_m3_h|cw_flow_m3_h|tchws_C|tchwr_C|tcws_C|tcwr_C|run_signal|load_pct,
tencent,chiller_chi02,chiller,9,9,0,0,power_W|chw_flow_m3_h|cw_flow_m3_h|tchws_C|tchwr_C|tcws_C|tcwr_C|run_signal|load_pct,
tencent,chiller_chi03,chiller,9,9,0,0,power_W|chw_flow_m3_h|cw_flow_m3_h|tchws_C|tchwr_C|tcws_C|tcwr_C|run_signal|load_pct,
tencent,chiller_chi04,chiller,9,9,0,0,power_W|chw_flow_m3_h|cw_flow_m3_h|tchws_C|tchwr_C|tcws_C|tcwr_C|run_signal|load_pct,
tencent,chiller_chi05,chiller,9,9,0,0,power_W|chw_flow_m3_h|cw_flow_m3_h|tchws_C|tchwr_C|tcws_C|tcwr_C|run_signal|load_pct,
tencent,chiller_chi06,chiller,9,9,0,0,power_W|chw_flow_m3_h|cw_flow_m3_h|tchws_C|tchwr_C|tcws_C|tcwr_C|run_signal|load_pct,
tencent,cooling_tower_ct01,cooling_tower,7,7,0,0,power_W|tcws_1_C|tcws_2_C|tcwr_C|run_signal|fan1_Hz|fan2_Hz,
tencent,cooling_tower_ct02,cooling_tower,7,7,0,0,power_W|tcws_1_C|tcws_2_C|tcwr_C|run_signal|fan1_Hz|fan2_Hz,
tencent,cooling_tower_ct03,cooling_tower,7,7,0,0,power_W|tcws_1_C|tcws_2_C|tcwr_C|run_signal|fan1_Hz|fan2_Hz,
tencent,cooling_tower_ct04,cooling_tower,7,7,0,0,power_W|tcws_1_C|tcws_2_C|tcwr_C|run_signal|fan1_Hz|fan2_Hz,
tencent,cooling_tower_ct05,cooling_tower,7,7,0,0,power_W|tcws_1_C|tcws_2_C|tcwr_C|run_signal|fan1_Hz|fan2_Hz,
tencent,cooling_tower_ct06,cooling_tower,7,7,0,0,power_W|tcws_1_C|tcws_2_C|tcwr_C|run_signal|fan1_Hz|fan2_Hz,
tencent,heat_exchanger_hex01,heat_exchanger,6,6,0,0,tchws_C|tchwr_C|tcwr_C|tcws_C|chw_valve_pct|cw_valve_pct,
