device,n_on,unique_power,unique_speed,unique_flow,r2_power_vs_speed_cubic,power_rated_implied,power_linear_resid_pct_of_range,r2_flow_vs_speed_linear,flow_rated_implied,flow_linear_resid_pct_of_range,synthetic_power,synthetic_flow
PP4,6448,760,347,346,1.0,38.91,5.366636977040032e-14,1.0,583.6499999999999,5.724412775509367e-14,True,True
PP5,6473,908,268,268,1.0,35.23,3.963976210656069e-14,1.0,528.4499999999999,8.456482582732946e-14,True,True
SWP6,17453,480,13,13,1.0,113.52000000000005,7.516982129173237e-14,1.0,1702.8000000000009,8.018114271118119e-14,True,True
SWP5,16540,2137,709,708,1.0,96.44,2.2123800802078887e-14,1.0,1446.6000000000001,3.1464961140734416e-14,True,True
SWP4,5537,2322,848,844,1.0,85.07999999999998,4.730644046338883e-14,1.0,1276.1999999999998,5.046020316094808e-14,True,True
SWP3,17498,1344,740,736,1.0,78.64,1.8097236186185293e-14,1.0,1179.6,3.8607437197195296e-14,True,True
SWP2,5702,1019,632,632,1.0,80.82999999999997,5.2979450907923464e-14,1.0,1212.4499999999998,3.767427620119002e-14,True,True
SWP1,8712,1474,654,654,1.0,88.44999999999999,3.220955284497281e-14,1.0,1326.75,3.4356856367971e-14,True,True
PP9,6413,918,468,459,1.0,42.00999999999999,9.919163365659845e-14,1.0,630.15,7.053627282247001e-14,True,True
PP8,9572,1375,760,759,1.0,20.02,3.744683792020865e-14,1.0,300.29999999999995,3.994329378155589e-14,True,True
PP7,6311,997,332,332,1.0,35.400000000000006,6.090366306515144e-13,1.0,531.0,4.330927151299658e-13,True,True
PP6,5883,1049,339,339,1.0,35.47999999999999,5.841677739874763e-14,1.0,532.1999999999999,6.231122922533081e-14,True,True
SWP7,4795,1853,423,422,1.0,40.65,1.7719270218456365e-14,1.0,609.7499999999999,3.780110979937358e-14,True,True
PP3,6695,714,342,342,1.0,38.940000000000005,5.4040517360382835e-14,1.0,584.1,5.76432185177417e-14,True,True
PP2,5090,754,324,324,1.0,39.43,1.0243287877368096e-13,1.0,591.4499999999998,1.09261737358593e-13,True,True
PP1,6681,814,384,383,1.0,39.28000000000001,3.684792637539475e-14,1.0,589.2,3.930445480042106e-14,True,True
CWP15,2992,2580,345,343,1.0,65.21999999999998,4.5353791644261713e-14,1.0,978.2999999999997,4.837737775387916e-14,True,True
CWP13,17507,1176,568,569,1.0,62.790000000000006,2.266122582554936e-14,1.0,941.8499999999998,3.6257961320878977e-14,True,True
CWP12,17503,624,625,625,1.0,64.66,1.1024712734834758e-14,1.0,969.8999999999999,2.3519387167647486e-14,True,True
CWP11,2973,1109,290,292,1.0,38.50999999999999,5.066258365490911e-14,1.0,577.65,2.702004461595152e-14,True,True
CWP10,17512,1334,615,608,1.0,51.06,2.7891765878708542e-14,1.0,765.9000000000001,2.975121693728911e-14,True,True
CT1,13020,3493,1249,1272,0.999999999932532,38.259999338754795,0.01808945413050619,0.999999999932509,573.8999900813219,0.018089454130495588,False,False
CT4,12607,3439,1256,1246,0.9999999996263106,37.96999938645586,0.02494425452667873,0.9999999996181946,569.549990796838,0.02494425452667856,False,False
CT3,12700,3356,1166,1164,0.9999995217173602,37.930010509485584,1.7680145714401034,0.99999952065739,568.9501576422838,1.768014571440103,False,False
CT2,13105,1247,1235,1253,0.9999902715079382,37.7303111260571,7.787867312914452,0.9999902614922366,565.9546668908566,7.787867312914455,False,False
