device,family,order,name,category,kind,removed,remaining,retained_pct
CDWP_01,pump,0,raw records,source,,0,105120,100.0
CDWP_01,pump,1,power_W present,missing_channel,gate,3,105117,99.99714611872146
CDWP_01,pump,2,speed_Hz present,missing_channel,gate,13862,91255,86.81031202435312
CDWP_01,pump,3,device running,operating_state,gate,61706,29549,28.109779299847794
CDWP_02,pump,0,raw records,source,,0,105120,100.0
CDWP_02,pump,1,power_W present,missing_channel,gate,3,105117,99.99714611872146
CDWP_02,pump,2,speed_Hz present,missing_channel,gate,12050,93067,88.53405631659056
CDWP_02,pump,3,device running,operating_state,gate,90697,2370,2.2545662100456623
CDWP_03,pump,0,raw records,source,,0,105120,100.0
CDWP_03,pump,1,power_W present,missing_channel,gate,3,105117,99.99714611872146
CDWP_03,pump,2,speed_Hz present,missing_channel,gate,3949,101168,96.24048706240487
CDWP_03,pump,3,device running,operating_state,gate,49680,51488,48.98021308980213
CHWP_01,pump,0,raw records,source,,0,105120,100.0
CHWP_01,pump,1,power_W present,missing_channel,gate,3,105117,99.99714611872146
CHWP_01,pump,2,speed_Hz present,missing_channel,gate,12087,93030,88.49885844748859
CHWP_01,pump,3,device running,operating_state,gate,56236,36794,35.00190258751903
CHWP_02,pump,0,raw records,source,,0,105120,100.0
CHWP_02,pump,1,power_W present,missing_channel,gate,3,105117,99.99714611872146
CHWP_02,pump,2,speed_Hz present,missing_channel,gate,3833,101284,96.35083713850837
CHWP_02,pump,3,device running,operating_state,gate,98888,2396,2.2792998477929984
CHWP_03,pump,0,raw records,source,,0,105120,100.0
CHWP_03,pump,1,power_W present,missing_channel,gate,3,105117,99.99714611872146
CHWP_03,pump,2,speed_Hz present,missing_channel,gate,13935,91182,86.74086757990868
CHWP_03,pump,3,device running,operating_state,gate,44127,47055,44.76312785388128
HXCWP_01,pump,0,raw records,source,,0,105120,100.0
HXCWP_01,pump,1,power_W present,missing_channel,gate,3,105117,99.99714611872146
HXCWP_01,pump,2,speed_Hz present,missing_channel,gate,11900,93217,88.6767503805175
HXCWP_01,pump,3,device running,operating_state,gate,61360,31857,30.305365296803654
HXCWP_02,pump,0,raw records,source,,0,105114,100.0
HXCWP_02,pump,1,power_W present,missing_channel,gate,3,105111,99.99714595581939
HXCWP_02,pump,2,speed_Hz present,missing_channel,gate,12397,92714,88.20328405350382
HXCWP_02,pump,3,device running,operating_state,gate,63684,29030,27.61763418764389
HXCWP_03,pump,0,raw records,source,,0,105120,100.0
HXCWP_03,pump,1,power_W present,missing_channel,gate,3,105117,99.99714611872146
HXCWP_03,pump,2,speed_Hz present,missing_channel,gate,14070,91047,86.61244292237443
HXCWP_03,pump,3,device running,operating_state,gate,88624,2423,2.304984779299848
