site,device,equipment,target,driver,form,n,max_residual_pct_of_range,inlier_fraction,n_outlier_rows,synthetic,duplicate,relation,is_validation_target
site_a,cooling_tower_ct_01,cooling_tower,fan1_Hz,run_signal,identity,91318,0.0,1.0,0,True,True,fan1_Hz is a copy of run_signal,False
site_a,cooling_tower_ct_01,cooling_tower,run_signal,fan1_Hz,identity,91318,0.0,1.0,0,True,True,run_signal is a copy of fan1_Hz,False
site_a,cooling_tower_ct_02,cooling_tower,fan1_Hz,run_signal,identity,101316,0.0,1.0,0,True,True,fan1_Hz is a copy of run_signal,False
site_a,cooling_tower_ct_02,cooling_tower,run_signal,fan1_Hz,identity,101316,0.0,1.0,0,True,True,run_signal is a copy of fan1_Hz,False
site_a,cooling_tower_ct_03,cooling_tower,fan1_Hz,run_signal,identity,92954,0.0,1.0,0,True,True,fan1_Hz is a copy of run_signal,False
site_a,cooling_tower_ct_03,cooling_tower,run_signal,fan1_Hz,identity,92954,0.0,1.0,0,True,True,run_signal is a copy of fan1_Hz,False
site_a,cooling_tower_ct_04,cooling_tower,fan1_Hz,run_signal,identity,94373,0.0,1.0,0,True,True,fan1_Hz is a copy of run_signal,False
site_a,cooling_tower_ct_04,cooling_tower,run_signal,fan1_Hz,identity,94373,0.0,1.0,0,True,True,run_signal is a copy of fan1_Hz,False
site_a,cooling_tower_ct_05,cooling_tower,fan1_Hz,run_signal,identity,94444,0.0,1.0,0,True,True,fan1_Hz is a copy of run_signal,False
site_a,cooling_tower_ct_05,cooling_tower,run_signal,fan1_Hz,identity,94444,0.0,1.0,0,True,True,run_signal is a copy of fan1_Hz,False
site_a,pump_cdwp_01,pump,speed_Hz,run_signal,identity,29553,0.0,1.0,0,True,True,speed_Hz is a copy of run_signal,False
site_a,pump_cdwp_01,pump,run_signal,speed_Hz,identity,29553,0.0,1.0,0,True,True,run_signal is a copy of speed_Hz,False
site_a,pump_cdwp_02,pump,speed_Hz,run_signal,identity,2372,0.0,1.0,0,True,True,speed_Hz is a copy of run_signal,False
site_a,pump_cdwp_02,pump,run_signal,speed_Hz,identity,2372,0.0,1.0,0,True,True,run_signal is a copy of speed_Hz,False
site_a,pump_cdwp_03,pump,speed_Hz,run_signal,identity,51494,0.0,1.0,0,True,True,speed_Hz is a copy of run_signal,False
site_a,pump_cdwp_03,pump,run_signal,speed_Hz,identity,51494,0.0,1.0,0,True,True,run_signal is a copy of speed_Hz,False
site_a,pump_chwp_01,pump,speed_Hz,run_signal,identity,73065,0.0,1.0,0,True,True,speed_Hz is a copy of run_signal,False
site_a,pump_chwp_01,pump,run_signal,speed_Hz,identity,73065,0.0,1.0,0,True,True,run_signal is a copy of speed_Hz,False
site_a,pump_chwp_02,pump,speed_Hz,run_signal,identity,2396,0.0,1.0,0,True,True,speed_Hz is a copy of run_signal,False
site_a,pump_chwp_02,pump,run_signal,speed_Hz,identity,2396,0.0,1.0,0,True,True,run_signal is a copy of speed_Hz,False
site_a,pump_chwp_03,pump,speed_Hz,run_signal,identity,60319,0.0,1.0,0,True,True,speed_Hz is a copy of run_signal,False
