device,segment,variable,n,p05,median,p95
CT-01,identification,Twb_C,8394,14.86838232925609,21.09993513809036,28.314348608910027
CT-01,identification,Tin_C,8394,21.5168609619141,26.1887359619141,33.0381088256836
CT-01,identification,flow_m3_h,8394,768.183370971681,784.95715942383,1251.247725219727
CT-01,selection,Twb_C,5726,11.33132309048746,15.51232720591895,23.30181958873534
CT-01,selection,Tin_C,5726,17.92764472961425,21.6062393188477,28.6749801635742
CT-01,selection,flow_m3_h,5726,442.473541259767,772.3572967529311,1280.4324691772458
CT-01,test,Twb_C,17904,10.726876084559104,18.68974904374832,27.724655149517822
CT-01,test,Tin_C,17904,18.104362487793,23.4424819946289,32.8512268066406
CT-01,test,flow_m3_h,17904,444.3635467529281,777.0822418212878,1276.435876464846
CT-02,selection,Twb_C,809,26.759843610324403,27.52999495999956,28.59866230789787
CT-02,selection,Tin_C,809,31.28636169433592,32.1606063842773,33.3793563842773
CT-02,selection,flow_m3_h,809,778.7427539062514,790.41357421875,802.0370214843754
CT-02,test,Twb_C,171,17.529998779999914,17.799999239999806,19.645309828527505
CT-02,test,Tin_C,171,22.6462326049805,22.9631042480469,25.5834197998047
CT-02,test,flow_m3_h,171,674.4935302734384,687.1723022460924,793.0910522460943
CT-03,identification,Twb_C,6957,13.135736751372988,26.474994659999595,28.960737636409736
CT-03,identification,Tin_C,6957,20.04461517333984,32.0956115722656,34.33161163330075
CT-03,identification,flow_m3_h,6957,708.1827319335953,815.0622802734384,856.8154467773445
CT-03,selection,Twb_C,11500,18.440553101200287,27.749996189999536,29.72721630464463
CT-03,selection,Tin_C,11500,22.9143600463867,32.0306091308594,33.6718673706055
CT-03,selection,flow_m3_h,11500,712.0533856201172,817.5035522460925,1050.6035522460922
CT-03,test,Twb_C,16589,15.84404757992262,27.51769615301089,29.444132972078467
CT-03,test,Tin_C,16589,21.1999855041504,32.2662353515625,33.6474838256836
CT-03,test,flow_m3_h,16589,802.6512231445323,819.1572143554691,858.6897583007809
CT-04,identification,Twb_C,284,27.177753246991248,28.68743780170979,29.668382119479077
CT-04,identification,Tin_C,284,32.7943572998047,33.9399871826172,34.3624801635742
CT-04,identification,flow_m3_h,284,839.6557800292962,843.1759918212878,846.4717199707043
CT-04,selection,Twb_C,206,20.61791893311359,21.500201607810112,22.067672476113408
CT-04,selection,Tin_C,206,26.3593597412109,27.3424835205078,28.142795562744126
CT-04,selection,flow_m3_h,206,830.280651855469,833.1746429443364,836.7185028076171
CT-04,test,Twb_C,2109,12.731903051279131,27.424995419999505,29.59999466000039
CT-04,test,Tin_C,2109,17.7306137084961,32.0549850463867,34.8662338256836
CT-04,test,flow_m3_h,2109,555.2659423828127,844.3571868896494,1134.7556396484365
CT-05,identification,Twb_C,889,13.185569497896722,16.02695328670353,28.35741610653756
CT-05,identification,Tin_C,889,20.14698791503908,20.8262367248535,33.5824813842773
CT-05,identification,flow_m3_h,889,694.9999951171877,791.3585083007808,873.7467846679677
CT-05,selection,Twb_C,4380,16.321078451274563,26.93922887938456,28.74807036562464
CT-05,selection,Tin_C,4380,21.63020133972171,31.193733215332,33.7124786376953
CT-05,selection,flow_m3_h,4380,37.713298645019485,793.4060302734384,798.6035522460925
CT-05,test,Twb_C,3643,17.67231457390752,27.731019349277176,29.57731047958392
CT-05,test,Tin_C,3643,21.557487487793,32.9081039428711,34.6874923706055
CT-05,test,flow_m3_h,3643,663.0591137695304,795.3747802734384,800.6510742187501
CT-06,identification,Twb_C,1104,24.44215757154418,27.22108330167552,28.72874768738746
CT-06,identification,Tin_C,1104,30.5237350463867,32.3599853515625,33.073769378662135
CT-06,identification,flow_m3_h,1104,674.017987060548,685.3804321289058,696.5177673339829
CT-06,selection,Twb_C,1082,20.0232360799434,26.170197544434103,28.1899536556736
CT-06,selection,Tin_C,1082,26.39704475402835,31.3849868774414,32.62770614624028
CT-06,selection,flow_m3_h,1082,673.8680236816405,686.8428771972672,696.817694091798
CT-07,identification,Twb_C,3733,27.428609466310867,29.017870535556256,29.60962530927913
CT-07,identification,Tin_C,3733,33.49823357718329,34.510612487793,35.119987487793
CT-07,identification,flow_m3_h,3733,706.1241577148425,719.5490112304692,734.2490478515616
CT-07,selection,Twb_C,5621,17.288891570531064,26.84032130832105,28.93999481000054
CT-07,selection,Tin_C,5621,23.2981109619141,32.4874801635742,34.3562393188477
CT-07,selection,flow_m3_h,5621,604.1241760253904,714.8990478515616,733.49912109375
CT-07,test,Twb_C,13090,18.06494345370284,27.394556803577476,29.292278615301377
CT-07,test,Tin_C,13090,22.993017578124984,33.078169250488315,34.9087371826172
CT-07,test,flow_m3_h,13090,603.8242492675788,711.5240478515616,732.3816247558591
