family,device,retained_operating_rows,selection_n,test_n,split_status,scored
chiller,CH-01,29086,142,283,ok,True
chiller,CH-02,1459,0,0,blocked_insufficient_identification,False
chiller,CH-03,50889,141,282,ok,True
chiller,CH-04,4682,0,0,blocked_insufficient_identification,False
chiller,CH-05,40,0,0,blocked,False
chiller,CH-06,5411,0,0,identification_only,False
chiller,CH-07,37464,143,284,ok,True
cooling_tower,CT-01,36794,5726,17894,ok,True
cooling_tower,CT-02,2397,0,0,blocked_insufficient_identification,False
cooling_tower,CT-03,48818,11483,16568,ok,True
cooling_tower,CT-04,5288,0,0,blocked_insufficient_identification,False
cooling_tower,CT-05,50704,4100,3645,ok,True
cooling_tower,CT-06,5411,0,0,identification_only,False
cooling_tower,CT-07,37462,5621,13089,ok,True
pump,CDWP-01,29549,776,976,ok,True
pump,CDWP-02,2369,0,0,blocked_insufficient_identification,False
pump,CDWP-03,51490,497,790,ok,True
pump,CDWP-04,3911,0,0,blocked_insufficient_identification,False
pump,CDWP-05,36559,648,1041,ok,True
pump,CDWP-06,5545,0,0,identification_only,False
pump,CDWP-07,36291,526,911,ok,True
pump,CHWP-01,36794,318,995,ok,True
pump,CHWP-02,2396,0,0,identification_only,False
pump,CHWP-03,47054,529,763,ok,True
pump,CHWP-04,5295,0,0,identification_only,False
pump,CHWP-05,50708,574,893,ok,True
pump,CHWP-06,5411,0,0,identification_only,False
pump,CHWP-07,36050,521,833,ok,True
pump,HXCWP-01,31857,424,896,ok,True
pump,HXCWP-02,29030,387,890,ok,True
pump,HXCWP-03,2423,0,0,identification_only,False
heat_exchanger,HX-01,105120,5560,8326,ok,True
heat_exchanger,HX-02,105120,6813,9909,ok,True
heat_exchanger,HX-03,105120,0,0,blocked,False
